string,case,gender,number,value,order,num_class,scale
п’ятнадцятих,genetive,,plural,15,1,ordinal,
п’ятнадцятому,dative,masculine,singular,15,1,ordinal,
п’ятнадцятій,dative,feminine,singular,15,1,ordinal,
п’ятнадцятому,dative,neuter,singular,15,1,ordinal,
п’ятнадцятим,dative,,plural,15,1,ordinal,
п’ятнадцятий п’ятнадцятого,accusative,masculine,singular,15,1,ordinal,
п’ятнадцяту,accusative,feminine,singular,15,1,ordinal,
п’ятнадцяте,accusative,neuter,singular,15,1,ordinal,
п’ятнадцяті п’ятнадцятих,accusative,,plural,15,1,ordinal,
п’ятнадцятим,instrumental,masculine,singular,15,1,ordinal,
п’ятнадцятою,instrumental,feminine,singular,15,1,ordinal,
п’ятнадцятим,instrumental,neuter,singular,15,1,ordinal,
п’ятнадцятими,instrumental,,plural,15,1,ordinal,
п’ятнадцятому п’ятнадцятім,prepositional,masculine,singular,15,1,ordinal,
п’ятнадцятій,prepositional,feminine,singular,15,1,ordinal,
п’ятнадцятому п’ятнадцятім,prepositional,neuter,singular,15,1,ordinal,
п’ятнадцятих,prepositional,,plural,15,1,ordinal,
шістнадцять,nominative,,plural,16,1,quantitative,
шістнадцятеро,nominative,,plural,16,1,collective,
шістнадцяти шістнадцятьох,genetive,,plural,16,1,quantitative,
шістнадцяти шістнадцятьом,dative,,plural,16,1,quantitative,
шістнадцять шістнадцятьох,accusative,,plural,16,1,quantitative,
шістнадцятьма шістнадцятьома,instrumental,,plural,16,1,quantitative,
шістнадцяти шістнадцятьох,prepositional,,plural,16,1,quantitative,
шістнадцятий,nominative,masculine,singular,16,1,ordinal,
шістнадцята,nominative,feminine,singular,16,1,ordinal,
шістнадцяте,nominative,neuter,singular,16,1,ordinal,
шістнадцяті,nominative,,plural,16,1,ordinal,
шістнадцятого,genetive,masculine,singular,16,1,ordinal,
шістнадцятої,genetive,feminine,singular,16,1,ordinal,
шістнадцятого,genetive,neuter,singular,16,1,ordinal,
шістнадцятих,genetive,,plural,16,1,ordinal,
шістнадцятому,dative,masculine,singular,16,1,ordinal,
шістнадцятій,dative,feminine,singular,16,1,ordinal,
шістнадцятому,dative,neuter,singular,16,1,ordinal,
шістнадцятим,dative,,plural,16,1,ordinal,
шістнадцятий шістнадцятого,accusative,masculine,singular,16,1,ordinal,
шістнадцяту,accusative,feminine,singular,16,1,ordinal,
шістнадцяте,accusative,neuter,singular,16,1,ordinal,
шістнадцяті шістнадцятих,accusative,,plural,16,1,ordinal,
шістнадцятим,instrumental,masculine,singular,16,1,ordinal,
шістнадцятою,instrumental,feminine,singular,16,1,ordinal,
шістнадцятим,instrumental,neuter,singular,16,1,ordinal,
шістнадцятими,instrumental,,plural,16,1,ordinal,
шістнадцятому шістнадцятім,prepositional,masculine,singular,16,1,ordinal,
шістнадцятій,prepositional,feminine,singular,16,1,ordinal,
шістнадцятому шістнадцятім,prepositional,neuter,singular,16,1,ordinal,
шістнадцятих,prepositional,,plural,16,1,ordinal,
сімнадцять,nominative,,plural,17,1,quantitative,
сімнадцятеро,nominative,,plural,17,1,collective,
сімнадцяти сімнадцятьох,genetive,,plural,17,1,quantitative,
сімнадцяти сімнадцятьом,dative,,plural,17,1,quantitative,
сімнадцять сімнадцятьох,accusative,,plural,17,1,quantitative,
сімнадцятьма сімнадцятьома,instrumental,,plural,17,1,quantitative,
сімнадцяти сімнадцятьох,prepositional,,plural,17,1,quantitative,
сімнадцятий,nominative,masculine,singular,17,1,ordinal,
сімнадцята,nominative,feminine,singular,17,1,ordinal,
сімнадцяте,nominative,neuter,singular,17,1,ordinal,
сімнадцяті,nominative,,plural,17,1,ordinal,
сімнадцятого,genetive,masculine,singular,17,1,ordinal,
сімнадцятої,genetive,feminine,singular,17,1,ordinal,
сімнадцятого,genetive,neuter,singular,17,1,ordinal,
сімнадцятих,genetive,,plural,17,1,ordinal,
сімнадцятому,dative,masculine,singular,17,1,ordinal,
сімнадцятій,dative,feminine,singular,17,1,ordinal,
сімнадцятому,dative,neuter,singular,17,1,ordinal,
сімнадцятим,dative,,plural,17,1,ordinal,
сімнадцятий сімнадцятого,accusative,masculine,singular,17,1,ordinal,
сімнадцяту,accusative,feminine,singular,17,1,ordinal,
сімнадцяте,accusative,neuter,singular,17,1,ordinal,
сімнадцяті сімнадцятих,accusative,,plural,17,1,ordinal,
сімнадцятим,instrumental,masculine,singular,17,1,ordinal,
сімнадцятою,instrumental,feminine,singular,17,1,ordinal,
сімнадцятим,instrumental,neuter,singular,17,1,ordinal,
сімнадцятими,instrumental,,plural,17,1,ordinal,
сімнадцятому сімнадцятім,prepositional,masculine,singular,17,1,ordinal,
сімнадцятій,prepositional,feminine,singular,17,1,ordinal,
сімнадцятому сімнадцятім,prepositional,neuter,singular,17,1,ordinal,
сімнадцятих,prepositional,,plural,17,1,ordinal,
вісімнадцять,nominative,,plural,18,1,quantitative,
вісімнадцятеро,nominative,,plural,18,1,collective,
вісімнадцяти вісімнадцятьох,genetive,,plural,18,1,quantitative,
вісімнадцяти вісімнадцятьом,dative,,plural,18,1,quantitative,
вісімнадцять вісімнадцятьох,accusative,,plural,18,1,quantitative,
вісімнадцятьма вісімнадцятьома,instrumental,,plural,18,1,quantitative,
вісімнадцяти вісімнадцятьох,prepositional,,plural,18,1,quantitative,
вісімнадцятий,nominative,masculine,singular,18,1,ordinal,
вісімнадцята,nominative,feminine,singular,18,1,ordinal,
вісімнадцяте,nominative,neuter,singular,18,1,ordinal,
вісімнадцяті,nominative,,plural,18,1,ordinal,
вісімнадцятого,genetive,masculine,singular,18,1,ordinal,
вісімнадцятої,genetive,feminine,singular,18,1,ordinal,
вісімнадцятого,genetive,neuter,singular,18,1,ordinal,
вісімнадцятих,genetive,,plural,18,1,ordinal,
вісімнадцятому,dative,masculine,singular,18,1,ordinal,
вісімнадцятій,dative,feminine,singular,18,1,ordinal,
вісімнадцятому,dative,neuter,singular,18,1,ordinal,
вісімнадцятим,dative,,plural,18,1,ordinal,
вісімнадцятий вісімнадцятого,accusative,masculine,singular,18,1,ordinal,
вісімнадцяту,accusative,feminine,singular,18,1,ordinal,
вісімнадцяте,accusative,neuter,singular,18,1,ordinal,
вісімнадцяті вісімнадцятих,accusative,,plural,18,1,ordinal,
вісімнадцятим,instrumental,masculine,singular,18,1,ordinal,
вісімнадцятою,instrumental,feminine,singular,18,1,ordinal,
вісімнадцятим,instrumental,neuter,singular,18,1,ordinal,
вісімнадцятими,instrumental,,plural,18,1,ordinal,
вісімнадцятому вісімнадцятім,prepositional,masculine,singular,18,1,ordinal,
вісімнадцятій,prepositional,feminine,singular,18,1,ordinal,
вісімнадцятому вісімнадцятім,prepositional,neuter,singular,18,1,ordinal,
вісімнадцятих,prepositional,,plural,18,1,ordinal,
дев’ятнадцять,nominative,,plural,19,1,quantitative,
дев’ятнадцятеро,nominative,,plural,19,1,collective,
дев’ятнадцяти дев’ятнадцятьох,genetive,,plural,19,1,quantitative,
дев’ятнадцяти дев’ятнадцятьом,dative,,plural,19,1,quantitative,
дев’ятнадцять дев’ятнадцятьох,accusative,,plural,19,1,quantitative,
дев’ятнадцятьма дев’ятнадцятьома,instrumental,,plural,19,1,quantitative,
дев’ятнадцяти дев’ятнадцятьох,prepositional,,plural,19,1,quantitative,
дев’ятнадцятий,nominative,masculine,singular,19,1,ordinal,
дев’ятнадцята,nominative,feminine,singular,19,1,ordinal,
дев’ятнадцяте,nominative,neuter,singular,19,1,ordinal,
дев’ятнадцяті,nominative,,plural,19,1,ordinal,
дев’ятнадцятого,genetive,masculine,singular,19,1,ordinal,
дев’ятнадцятої,genetive,feminine,singular,19,1,ordinal,
дев’ятнадцятого,genetive,neuter,singular,19,1,ordinal,
дев’ятнадцятих,genetive,,plural,19,1,ordinal,
дев’ятнадцятому,dative,masculine,singular,19,1,ordinal,
дев’ятнадцятій,dative,feminine,singular,19,1,ordinal,
дев’ятнадцятому,dative,neuter,singular,19,1,ordinal,
дев’ятнадцятим,dative,,plural,19,1,ordinal,
дев’ятнадцятий дев’ятнадцятого,accusative,masculine,singular,19,1,ordinal,
дев’ятнадцяту,accusative,feminine,singular,19,1,ordinal,
дев’ятнадцяте,accusative,neuter,singular,19,1,ordinal,
дев’ятнадцяті дев’ятнадцятих,accusative,,plural,19,1,ordinal,
дев’ятнадцятим,instrumental,masculine,singular,19,1,ordinal,
дев’ятнадцятою,instrumental,feminine,singular,19,1,ordinal,
дев’ятнадцятим,instrumental,neuter,singular,19,1,ordinal,
дев’ятнадцятими,instrumental,,plural,19,1,ordinal,
дев’ятнадцятому дев’ятнадцятім,prepositional,masculine,singular,19,1,ordinal,
дев’ятнадцятій,prepositional,feminine,singular,19,1,ordinal,
дев’ятнадцятому дев’ятнадцятім,prepositional,neuter,singular,19,1,ordinal,
дев’ятнадцятих,prepositional,,plural,19,1,ordinal,
двадцять,nominative,,plural,20,1,quantitative,
двадцятеро,nominative,,plural,20,1,collective,
двадцяти двадцятьох,genetive,,plural,20,1,quantitative,
двадцяти двадцятьом,dative,,plural,20,1,quantitative,
двадцять двадцятьох,accusative,,plural,20,1,quantitative,
двадцятьма двадцятьома,instrumental,,plural,20,1,quantitative,
двадцяти двадцятьох,prepositional,,plural,20,1,quantitative,
двадцятий,nominative,masculine,singular,20,1,ordinal,
двадцята,nominative,feminine,singular,20,1,ordinal,
двадцяте,nominative,neuter,singular,20,1,ordinal,
двадцяті,nominative,,plural,20,1,ordinal,
двадцятого,genetive,masculine,singular,20,1,ordinal,
двадцятої,genetive,feminine,singular,20,1,ordinal,
двадцятого,genetive,neuter,singular,20,1,ordinal,
двадцятих,genetive,,plural,20,1,ordinal,
двадцятому,dative,masculine,singular,20,1,ordinal,
двадцятій,dative,feminine,singular,20,1,ordinal,
двадцятому,dative,neuter,singular,20,1,ordinal,
двадцятим,dative,,plural,20,1,ordinal,
двадцятий двадцятого,accusative,masculine,singular,20,1,ordinal,
двадцяту,accusative,feminine,singular,20,1,ordinal,
двадцяте,accusative,neuter,singular,20,1,ordinal,
двадцяті двадцятих,accusative,,plural,20,1,ordinal,
двадцятим,instrumental,masculine,singular,20,1,ordinal,
двадцятою,instrumental,feminine,singular,20,1,ordinal,
двадцятим,instrumental,neuter,singular,20,1,ordinal,
двадцятими,instrumental,,plural,20,1,ordinal,
двадцятому двадцятім,prepositional,masculine,singular,20,1,ordinal,
двадцятій,prepositional,feminine,singular,20,1,ordinal,
двадцятому двадцятім,prepositional,neuter,singular,20,1,ordinal,
двадцятих,prepositional,,plural,20,1,ordinal,
тридцять,nominative,,plural,30,1,quantitative,
тридцятеро,nominative,,plural,30,1,collective,
тридцяти тридцятьох,genetive,,plural,30,1,quantitative,
тридцяти тридцятьом,dative,,plural,30,1,quantitative,
тридцять тридцятьох,accusative,,plural,30,1,quantitative,
тридцятьма тридцятьома,instrumental,,plural,30,1,quantitative,
тридцяти тридцятьох,prepositional,,plural,30,1,quantitative,
тридцятий,nominative,masculine,singular,30,1,ordinal,
тридцята,nominative,feminine,singular,30,1,ordinal,
тридцяте,nominative,neuter,singular,30,1,ordinal,
тридцяті,nominative,,plural,30,1,ordinal,
тридцятого,genetive,masculine,singular,30,1,ordinal,
тридцятої,genetive,feminine,singular,30,1,ordinal,
тридцятого,genetive,neuter,singular,30,1,ordinal,
тридцятих,genetive,,plural,30,1,ordinal,
тридцятому,dative,masculine,singular,30,1,ordinal,
тридцятій,dative,feminine,singular,30,1,ordinal,
тридцятому,dative,neuter,singular,30,1,ordinal,
тридцятим,dative,,plural,30,1,ordinal,
тридцятий тридцятого,accusative,masculine,singular,30,1,ordinal,
тридцяту,accusative,feminine,singular,30,1,ordinal,
тридцяте,accusative,neuter,singular,30,1,ordinal,
тридцяті тридцятих,accusative,,plural,30,1,ordinal,
тридцятим,instrumental,masculine,singular,30,1,ordinal,
тридцятою,instrumental,feminine,singular,30,1,ordinal,
тридцятим,instrumental,neuter,singular,30,1,ordinal,
тридцятими,instrumental,,plural,30,1,ordinal,
тридцятому тридцятім,prepositional,masculine,singular,30,1,ordinal,
тридцятій,prepositional,feminine,singular,30,1,ordinal,
тридцятому тридцятім,prepositional,neuter,singular,30,1,ordinal,
тридцятих,prepositional,,plural,30,1,ordinal,
сорок,nominative,,plural,40,1,quantitative,
сорока,genetive,,plural,40,1,quantitative,
сорока,dative,,plural,40,1,quantitative,
сорок,accusative,,plural,40,1,quantitative,
сорока,instrumental,,plural,40,1,quantitative,
сорока,prepositional,,plural,40,1,quantitative,
сороковий,nominative,masculine,singular,40,1,ordinal,
сорокова,nominative,feminine,singular,40,1,ordinal,
сорокове,nominative,neuter,singular,40,1,ordinal,
сорокові,nominative,,plural,40,1,ordinal,
сорокового,genetive,masculine,singular,40,1,ordinal,
сорокової,genetive,feminine,singular,40,1,ordinal,
сорокового,genetive,neuter,singular,40,1,ordinal,
сорокових,genetive,,plural,40,1,ordinal,
сороковому,dative,masculine,singular,40,1,ordinal,
сороковій,dative,feminine,singular,40,1,ordinal,
сороковому,dative,neuter,singular,40,1,ordinal,
сороковим,dative,,plural,40,1,ordinal,
сороковий сорокового,accusative,masculine,singular,40,1,ordinal,
сорокову,accusative,feminine,singular,40,1,ordinal,
сорокове,accusative,neuter,singular,40,1,ordinal,
сорокові сорокових,accusative,,plural,40,1,ordinal,
сороковим,instrumental,masculine,singular,40,1,ordinal,
сороковою,instrumental,feminine,singular,40,1,ordinal,
сороковим,instrumental,neuter,singular,40,1,ordinal,
сороковими,instrumental,,plural,40,1,ordinal,
сороковому сороковім,prepositional,masculine,singular,40,1,ordinal,
сороковій,prepositional,feminine,singular,40,1,ordinal,
сороковому сороковім,prepositional,neuter,singular,40,1,ordinal,
сорокових,prepositional,,plural,40,1,ordinal,
п’ятдесят,nominative,,plural,50,1,quantitative,
п’ятдесяти п’ятдесятьох,genetive,,plural,50,1,quantitative,
п’ятдесяти п’ятдесятьом,dative,,plural,50,1,quantitative,
п’ятдесят п’ятдесятьох,accusative,,plural,50,1,quantitative,
п’ятдесятьма п’ятдесятьома,instrumental,,plural,50,1,quantitative,
п’ятдесяти п’ятдесятьох,prepositional,,plural,50,1,quantitative,
п’ятдесятий,nominative,masculine,singular,50,1,ordinal,
п’ятдесята,nominative,feminine,singular,50,1,ordinal,
п’ятдесяте,nominative,neuter,singular,50,1,ordinal,
п’ятдесяті,nominative,,plural,50,1,ordinal,
п’ятдесятого,genetive,masculine,singular,50,1,ordinal,
п’ятдесятої,genetive,feminine,singular,50,1,ordinal,
п’ятдесятого,genetive,neuter,singular,50,1,ordinal,
п’ятдесятих,genetive,,plural,50,1,ordinal,
п’ятдесятому,dative,masculine,singular,50,1,ordinal,
п’ятдесятій,dative,feminine,singular,50,1,ordinal,
п’ятдесятому,dative,neuter,singular,50,1,ordinal,
п’ятдесятим,dative,,plural,50,1,ordinal,
п’ятдесятий п’ятдесятого,accusative,masculine,singular,50,1,ordinal,
п’ятдесяту,accusative,feminine,singular,50,1,ordinal,
п’ятдесяте,accusative,neuter,singular,50,1,ordinal,
п’ятдесяті п’ятдесятих,accusative,,plural,50,1,ordinal,
п’ятдесятим,instrumental,masculine,singular,50,1,ordinal,
п’ятдесятою,instrumental,feminine,singular,50,1,ordinal,
п’ятдесятим,instrumental,neuter,singular,50,1,ordinal,
п’ятдесятими,instrumental,,plural,50,1,ordinal,
п’ятдесятому п’ятдесятім,prepositional,masculine,singular,50,1,ordinal,
п’ятдесятій,prepositional,feminine,singular,50,1,ordinal,
п’ятдесятому п’ятдесятім,prepositional,neuter,singular,50,1,ordinal,
п’ятдесятих,prepositional,,plural,50,1,ordinal,
шістдесят,nominative,,plural,60,1,quantitative,
шістдесяти шістдесятьох,genetive,,plural,60,1,quantitative,
шістдесяти шістдесятьом,dative,,plural,60,1,quantitative,
шістдесят шістдесятьох,accusative,,plural,60,1,quantitative,
шістдесятьма шістдесятьома,instrumental,,plural,60,1,quantitative,
шістдесяти шістдесятьох,prepositional,,plural,60,1,quantitative,
шістдесятий,nominative,masculine,singular,60,1,ordinal,
шістдесята,nominative,feminine,singular,60,1,ordinal,
шістдесяте,nominative,neuter,singular,60,1,ordinal,
шістдесяті,nominative,,plural,60,1,ordinal,
шістдесятого,genetive,masculine,singular,60,1,ordinal,
шістдесятої,genetive,feminine,singular,60,1,ordinal,
шістдесятого,genetive,neuter,singular,60,1,ordinal,
шістдесятих,genetive,,plural,60,1,ordinal,
шістдесятому,dative,masculine,singular,60,1,ordinal,
шістдесятій,dative,feminine,singular,60,1,ordinal,
шістдесятому,dative,neuter,singular,60,1,ordinal,
шістдесятим,dative,,plural,60,1,ordinal,
шістдесятий шістдесятого,accusative,masculine,singular,60,1,ordinal,
шістдесяту,accusative,feminine,singular,60,1,ordinal,
шістдесяте,accusative,neuter,singular,60,1,ordinal,
шістдесяті шістдесятих,accusative,,plural,60,1,ordinal,
шістдесятим,instrumental,masculine,singular,60,1,ordinal,
шістдесятою,instrumental,feminine,singular,60,1,ordinal,
шістдесятим,instrumental,neuter,singular,60,1,ordinal,
шістдесятими,instrumental,,plural,60,1,ordinal,
шістдесятому шістдесятім,prepositional,masculine,singular,60,1,ordinal,
шістдесятій,prepositional,feminine,singular,60,1,ordinal,
шістдесятому шістдесятім,prepositional,neuter,singular,60,1,ordinal,
шістдесятих,prepositional,,plural,60,1,ordinal,
сімдесят,nominative,,plural,70,1,quantitative,
сімдесяти сімдесятьох,genetive,,plural,70,1,quantitative,
сімдесяти сімдесятьом,dative,,plural,70,1,quantitative,
сімдесят сімдесятьох,accusative,,plural,70,1,quantitative,
сімдесятьма сімдесятьома,instrumental,,plural,70,1,quantitative,
сімдесяти сімдесятьох,prepositional,,plural,70,1,quantitative,
сімдесятий,nominative,masculine,singular,70,1,ordinal,
сімдесята,nominative,feminine,singular,70,1,ordinal,
сімдесяте,nominative,neuter,singular,70,1,ordinal,
сімдесяті,nominative,,plural,70,1,ordinal,
сімдесятого,genetive,masculine,singular,70,1,ordinal,
сімдесятої,genetive,feminine,singular,70,1,ordinal,
сімдесятого,genetive,neuter,singular,70,1,ordinal,
сімдесятих,genetive,,plural,70,1,ordinal,
сімдесятому,dative,masculine,singular,70,1,ordinal,
сімдесятій,dative,feminine,singular,70,1,ordinal,
сімдесятому,dative,neuter,singular,70,1,ordinal,
сімдесятим,dative,,plural,70,1,ordinal,
сімдесятий сімдесятого,accusative,masculine,singular,70,1,ordinal,
сімдесяту,accusative,feminine,singular,70,1,ordinal,
сімдесяте,accusative,neuter,singular,70,1,ordinal,
сімдесяті сімдесятих,accusative,,plural,70,1,ordinal,
сімдесятим,instrumental,masculine,singular,70,1,ordinal,
сімдесятою,instrumental,feminine,singular,70,1,ordinal,
сімдесятим,instrumental,neuter,singular,70,1,ordinal,
сімдесятими,instrumental,,plural,70,1,ordinal,
сімдесятому сімдесятім,prepositional,masculine,singular,70,1,ordinal,
сімдесятій,prepositional,feminine,singular,70,1,ordinal,
сімдесятому сімдесятім,prepositional,neuter,singular,70,1,ordinal,
сімдесятих,prepositional,,plural,70,1,ordinal,
вісімдесят,nominative,,plural,80,1,quantitative,
вісімдесяти вісімдесятьох,genetive,,plural,80,1,quantitative,
вісімдесяти вісімдесятьом,dative,,plural,80,1,quantitative,
вісімдесят вісімдесятьох,accusative,,plural,80,1,quantitative,
вісімдесятьма вісімдесятьома,instrumental,,plural,80,1,quantitative,
вісімдесяти вісімдесятьох,prepositional,,plural,80,1,quantitative,
вісімдесятий,nominative,masculine,singular,80,1,ordinal,
вісімдесята,nominative,feminine,singular,80,1,ordinal,
вісімдесяте,nominative,neuter,singular,80,1,ordinal,
вісімдесяті,nominative,,plural,80,1,ordinal,
вісімдесятого,genetive,masculine,singular,80,1,ordinal,
вісімдесятої,genetive,feminine,singular,80,1,ordinal,
вісімдесятого,genetive,neuter,singular,80,1,ordinal,
вісімдесятих,genetive,,plural,80,1,ordinal,
вісімдесятому,dative,masculine,singular,80,1,ordinal,
вісімдесятій,dative,feminine,singular,80,1,ordinal,
вісімдесятому,dative,neuter,singular,80,1,ordinal,
вісімдесятим,dative,,plural,80,1,ordinal,
вісімдесятий вісімдесятого,accusative,masculine,singular,80,1,ordinal,
вісімдесяту,accusative,feminine,singular,80,1,ordinal,
вісімдесяте,accusative,neuter,singular,80,1,ordinal,
вісімдесяті вісімдесятих,accusative,,plural,80,1,ordinal,
вісімдесятим,instrumental,masculine,singular,80,1,ordinal,
вісімдесятою,instrumental,feminine,singular,80,1,ordinal,
вісімдесятим,instrumental,neuter,singular,80,1,ordinal,
вісімдесятими,instrumental,,plural,80,1,ordinal,
вісімдесятому вісімдесятім,prepositional,masculine,singular,80,1,ordinal,
вісімдесятій,prepositional,feminine,singular,80,1,ordinal,
вісімдесятому вісімдесятім,prepositional,neuter,singular,80,1,ordinal,
вісімдесятих,prepositional,,plural,80,1,ordinal,
дев’яносто,nominative,,plural,90,1,quantitative,
дев’яноста,genetive,,plural,90,1,quantitative,
дев’яноста,dative,,plural,90,1,quantitative,
дев’яносто,accusative,,plural,90,1,quantitative,
дев’яноста,instrumental,,plural,90,1,quantitative,
дев’яноста,prepositional,,plural,90,1,quantitative,
дев’яностий,nominative,masculine,singular,90,1,ordinal,
дев’яноста,nominative,feminine,singular,90,1,ordinal,
дев’яносте,nominative,neuter,singular,90,1,ordinal,
дев’яності,nominative,,plural,90,1,ordinal,
дев’яностого,genetive,masculine,singular,90,1,ordinal,
дев’яностої,genetive,feminine,singular,90,1,ordinal,
дев’яностого,genetive,neuter,singular,90,1,ordinal,
дев’яностих,genetive,,plural,90,1,ordinal,
дев’яностому,dative,masculine,singular,90,1,ordinal,
дев’яностій,dative,feminine,singular,90,1,ordinal,
дев’яностому,dative,neuter,singular,90,1,ordinal,
дев’яностим,dative,,plural,90,1,ordinal,
дев’яностий дев’яностого,accusative,masculine,singular,90,1,ordinal,
дев’яносту,accusative,feminine,singular,90,1,ordinal,
дев’яносте,accusative,neuter,singular,90,1,ordinal,
дев’яності дев’яностих,accusative,,plural,90,1,ordinal,
дев’яностим,instrumental,masculine,singular,90,1,ordinal,
дев’яностою,instrumental,feminine,singular,90,1,ordinal,
дев’яностим,instrumental,neuter,singular,90,1,ordinal,
дев’яностими,instrumental,,plural,90,1,ordinal,
дев’яностому дев’яностім,prepositional,masculine,singular,90,1,ordinal,
дев’яностій,prepositional,feminine,singular,90,1,ordinal,
дев’яностому дев’яностім,prepositional,neuter,singular,90,1,ordinal,
дев’яностих,prepositional,,plural,90,1,ordinal,
сто,nominative,,plural,100,2,quantitative,
ста,genetive,,plural,100,2,quantitative,
ста,dative,,plural,100,2,quantitative,
сто,accusative,,plural,100,2,quantitative,
ста,instrumental,,plural,100,2,quantitative,
ста,prepositional,,plural,100,2,quantitative,
сотня,nominative,,singular,100,2,collective,TRUE
сотні,nominative,,plural,100,2,collective,TRUE
сотні,genetive,,singular,100,2,collective,TRUE
сотень,genetive,,plural,100,2,collective,TRUE
сотні,dative,,singular,100,2,collective,TRUE
сотням,dative,,plural,100,2,collective,TRUE
сотню,accusative,,singular,100,2,collective,TRUE
сотні,accusative,,plural,100,2,collective,TRUE
сотнею,instrumental,,singular,100,2,collective,TRUE
сотнями,instrumental,,plural,100,2,collective,TRUE
сотні,prepositional,,singular,100,2,collective,TRUE
сотнях,prepositional,,plural,100,2,collective,TRUE
сотий,nominative,masculine,singular,100,2,ordinal,
сота,nominative,feminine,singular,100,2,ordinal,
соте,nominative,neuter,singular,100,2,ordinal,
соті,nominative,,plural,100,2,ordinal,
сотого,genetive,masculine,singular,100,2,ordinal,
сотої,genetive,feminine,singular,100,2,ordinal,
сотого,genetive,neuter,singular,100,2,ordinal,
сотих,genetive,,plural,100,2,ordinal,
сотому,dative,masculine,singular,100,2,ordinal,
сотій,dative,feminine,singular,100,2,ordinal,
сотому,dative,neuter,singular,100,2,ordinal,
сотим,dative,,plural,100,2,ordinal,
сотий сотого,accusative,masculine,singular,100,2,ordinal,
соту,accusative,feminine,singular,100,2,ordinal,
соте,accusative,neuter,singular,100,2,ordinal,
соті сотих,accusative,,plural,100,2,ordinal,
сотим,instrumental,masculine,singular,100,2,ordinal,
сотою,instrumental,feminine,singular,100,2,ordinal,
сотим,instrumental,neuter,singular,100,2,ordinal,
сотими,instrumental,,plural,100,2,ordinal,
сотому сотім,prepositional,masculine,singular,100,2,ordinal,
сотій,prepositional,feminine,singular,100,2,ordinal,
сотому сотім,prepositional,neuter,singular,100,2,ordinal,
сотих,prepositional,,plural,100,2,ordinal,
двісті,nominative,,plural,200,2,quantitative,
двохсот,genetive,,plural,200,2,quantitative,
двомстам,dative,,plural,200,2,quantitative,
двісті,accusative,,plural,200,2,quantitative,
двомастами,instrumental,,plural,200,2,quantitative,
двохстах,prepositional,,plural,200,2,quantitative,
двохсотий,nominative,masculine,singular,200,2,ordinal,
двохсота,nominative,feminine,singular,200,2,ordinal,
двохсоте,nominative,neuter,singular,200,2,ordinal,
двохсоті,nominative,,plural,200,2,ordinal,
двохсотого,genetive,masculine,singular,200,2,ordinal,
двохсотої,genetive,feminine,singular,200,2,ordinal,
двохсотого,genetive,neuter,singular,200,2,ordinal,
двохсотих,genetive,,plural,200,2,ordinal,
двохсотому,dative,masculine,singular,200,2,ordinal,
двохсотій,dative,feminine,singular,200,2,ordinal,
двохсотому,dative,neuter,singular,200,2,ordinal,
двохсотим,dative,,plural,200,2,ordinal,
двохсотий двохсотого,accusative,masculine,singular,200,2,ordinal,
двохсоту,accusative,feminine,singular,200,2,ordinal,
двохсоте,accusative,neuter,singular,200,2,ordinal,
двохсоті двохсотих,accusative,,plural,200,2,ordinal,
двохсотим,instrumental,masculine,singular,200,2,ordinal,
двохсотою,instrumental,feminine,singular,200,2,ordinal,
двохсотим,instrumental,neuter,singular,200,2,ordinal,
двохсотими,instrumental,,plural,200,2,ordinal,
двохсотому двохсотім,prepositional,masculine,singular,200,2,ordinal,
двохсотій,prepositional,feminine,singular,200,2,ordinal,
двохсотому двохсотім,prepositional,neuter,singular,200,2,ordinal,
двохсотих,prepositional,,plural,200,2,ordinal,
триста,nominative,,plural,300,2,quantitative,
трьохсот,genetive,,plural,300,2,quantitative,
трьомстам,dative,,plural,300,2,quantitative,
триста,accusative,,plural,300,2,quantitative,
трьомастами,instrumental,,plural,300,2,quantitative,
трьохстах,prepositional,,plural,300,2,quantitative,
трьохсотий,nominative,masculine,singular,300,2,ordinal,
трьохсота,nominative,feminine,singular,300,2,ordinal,
трьохсоте,nominative,neuter,singular,300,2,ordinal,
трьохсоті,nominative,,plural,300,2,ordinal,
трьохсотого,genetive,masculine,singular,300,2,ordinal,
трьохсотої,genetive,feminine,singular,300,2,ordinal,
трьохсотого,genetive,neuter,singular,300,2,ordinal,
трьохсотих,genetive,,plural,300,2,ordinal,
трьохсотому,dative,masculine,singular,300,2,ordinal,
трьохсотій,dative,feminine,singular,300,2,ordinal,
трьохсотому,dative,neuter,singular,300,2,ordinal,
трьохсотим,dative,,plural,300,2,ordinal,
трьохсотий трьохсотого,accusative,masculine,singular,300,2,ordinal,
трьохсоту,accusative,feminine,singular,300,2,ordinal,
трьохсоте,accusative,neuter,singular,300,2,ordinal,
трьохсоті трьохсотих,accusative,,plural,300,2,ordinal,
трьохсотим,instrumental,masculine,singular,300,2,ordinal,
трьохсотою,instrumental,feminine,singular,300,2,ordinal,
трьохсотим,instrumental,neuter,singular,300,2,ordinal,
трьохсотими,instrumental,,plural,300,2,ordinal,
трьохсотому трьохсотім,prepositional,masculine,singular,300,2,ordinal,
трьохсотій,prepositional,feminine,singular,300,2,ordinal,
трьохсотому трьохсотім,prepositional,neuter,singular,300,2,ordinal,
трьохсотих,prepositional,,plural,300,2,ordinal,
чотириста,nominative,,plural,400,2,quantitative,
чотирьохсот,genetive,,plural,400,2,quantitative,
