string,case,gender,number,value,order,num_class,scale
другому другім,prepositional,masculine,singular,2,0,ordinal,
другій,prepositional,feminine,singular,2,0,ordinal,
другому другім,prepositional,neuter,singular,2,0,ordinal,
других,prepositional,,plural,2,0,ordinal,
двох,genetive,masculine,,2,0,quantitative,
двох,genetive,feminine,,2,0,quantitative,
двом,dative,masculine,,2,0,quantitative,
двом,dative,feminine,,2,0,quantitative,
двома,instrumental,masculine,,2,0,quantitative,
двома,instrumental,feminine,,2,0,quantitative,
двох,prepositional,masculine,,2,0,quantitative,
двох,prepositional,feminine,,2,0,quantitative,
двох,genetive,neuter,,2,0,quantitative,
двом,dative,neuter,,2,0,quantitative,
двома,instrumental,neuter,,2,0,quantitative,
двох,prepositional,neuter,,2,0,quantitative,
три,nominative,,plural,3,0,quantitative,
троє,nominative,,plural,3,0,collective,
трьох,genetive,,plural,3,0,quantitative,
трьом,dative,,plural,3,0,quantitative,
три трьох,accusative,,plural,3,0,quantitative,
троє трьох,accusative,,plural,3,0,collective,
трьома,instrumental,,plural,3,0,quantitative,
трьох,prepositional,,plural,3,0,quantitative,
третій,nominative,masculine,singular,3,0,ordinal,
третя,nominative,feminine,singular,3,0,ordinal,
третє,nominative,neuter,singular,3,0,ordinal,
треті,nominative,,plural,3,0,ordinal,
третього,genetive,masculine,singular,3,0,ordinal,
третьої,genetive,feminine,singular,3,0,ordinal,
третього,genetive,neuter,singular,3,0,ordinal,
третіх,genetive,,plural,3,0,ordinal,
третьому,dative,masculine,singular,3,0,ordinal,
третій,dative,feminine,singular,3,0,ordinal,
третьому,dative,neuter,singular,3,0,ordinal,
третім,dative,,plural,3,0,ordinal,
третій третього,accusative,masculine,singular,3,0,ordinal,
третю,accusative,feminine,singular,3,0,ordinal,
третє,accusative,neuter,singular,3,0,ordinal,
треті третіх,accusative,,plural,3,0,ordinal,
третім,instrumental,masculine,singular,3,0,ordinal,
третьою,instrumental,feminine,singular,3,0,ordinal,
третім,instrumental,neuter,singular,3,0,ordinal,
третіми,instrumental,,plural,3,0,ordinal,
третьому третім,prepositional,masculine,singular,3,0,ordinal,
третій,prepositional,feminine,singular,3,0,ordinal,
третьому третім,prepositional,neuter,singular,3,0,ordinal,
третіх,prepositional,,plural,3,0,ordinal,
чотири,nominative,,plural,4,0,quantitative,
четверо,nominative,,plural,4,0,collective,
чотирьох,genetive,,plural,4,0,quantitative,
